,text_id,doc,topic,x,y
0,737829,el pique mas corto me dejo en peru https://t.co/TkgazhSP4j,10,4.593573,9.485771
1,639561,"Que Piqué juegue con algún equipo de la Kings League, viendo las últimas temporadas que hizo con mi Barsa querido, va a jugar con uno menos 😔. 
PD. Que no se le ocurra pedir línea a la defensa sin ver cómo en el último partido porque pasan tragedias. https://t.co/jTYe6xUBYb",0,2.116282,4.023746
2,670836,cada vez mais parecido com o Piqué https://t.co/RJI6p0EsX0,0,2.7521238,4.866973
3,651642,Shakira and Miley: Writing a perfect break-up song https://t.co/crbUFTXE0L,-1,16.156586,3.6777868
4,677473,"Hey Enero a metido como 30 vergueros en 23 días😂 Bad Bunny y la fan, Shakira salPIQUE y Clara-mente, Miley y flowers, Kylie dejo a Travis, La demanda al Reggaetón, el libro del Príncipe Harry y ahora Dani Alves 🥲",-1,8.696136,4.8372054
5,557079,JAJAJAJA todo el bardo entre Shakira y Pique y los dos se siguen en instagram JAKASK son peor que yo,37,5.8452563,1.0468553
6,670864,"El real ""Yo valgo por dos de 22"" @shakira nos contó todo el chisme y no entendimos! https://t.co/T26SQXtxw0",-1,10.702237,-0.21515532
7,722378,"passei a noite num pique completamente ausente do mundo. fiquei montando a casinha, atualizei meu diário, fiquei fazendo pulseirinhas de crochê. quase o sonho do cottagecore, tirando que eu tava ouvindo night vale e bbb",3,4.7411976,7.8118777
8,576118,ya escucharon la bzrp de shakira?,-1,12.517836,5.8355904
9,659356,eu to no pique desse maluco ai https://t.co/FpnbAS2SaG,22,3.4530814,7.002343
10,554633,Shakira pensó que el tipo iba a cambiar por el amor a ella. Eso nos ha pasado a todos en algún momento de la vida.,2,11.292913,2.4891334
11,743959,q risa me da cuando cuando duki en marisola dice q no se me pique el gil de tu papá kakakakak pq lo bardeaba pobre,8,3.6964984,8.327671
12,668957,Mi mamá desde que escucho la Shakira/biza ahora escucha todas las sesiones y ahora anda escuchando la de Naty Peluso jejeje,16,13.148064,7.1181426
13,546468,"En este mundo hay más sufrid@s que no saben soltar que gente que sabe cerrar ciclos csm, revientan a Shakira y Miley Cyrus ni mrd",2,14.777075,3.6889663
14,583295,en 3:38 lo detonó a piqué,0,3.3435462,3.8791826
15,684272,"Amo la secuencia infinita que están realizando de los engaños de Piqué. La madre y la puta, ¿llegaremos a la más puta de las putas de Piqué?",0,4.425463,2.1021419
16,607560,La canción de Shakira es cuando estas en la etapa ardida y la de miley es cuando ya fuiste a terapia y tienes amor propio jajajaja,5,15.408393,4.1585755
17,621877,Meu novo vício é assistir as reações das pessoas ao ouvir a nova música da @shakira no TikTok kkkkk sensacional!,25,14.042238,6.3886857
18,701688,"Quevedo desvela lo que le dijo Bizarrap sobre la sesión con Shakira antes de sacarla. 💥 👇

Vía @FlooxerNow  https://t.co/2CV4NRTL5U",-1,10.06667,10.824286
19,607629,"Ayer mientras veía Mamma Mia con el Hombre, pensé que por qué no hacen un musical con la música (especialm la antigua) de Shakira",-1,11.576937,5.1405244
20,521501,La infidelidad está tan normalizada que están viendo a Shakira como y a Piqué como el súper crack 😳,1,6.299574,1.9444939
21,604925,‘Shakira’ vuelve a facturar y esta vez lanzando la coreografía oficial de su canción con ‘Bizarap’ https://t.co/8Cpm4rler2,25,10.353977,6.2039285
22,535007,"Já pensou em quantos homens não sabem nos fazer gozar ? Não entendem a conexão de toques essenciais em nosso corpo ? Quantos não sabem fazer vc sentir prazer com anal?
#sexo #SuperSupercopa #Anitta #BBB23 #Shakira #AltasHoras",7,9.993382,4.761478
23,585435,Shakira es esa amiga que todos tenemos y que nunca le supera a su ex,2,12.024206,2.6291597
24,759029,"Rumores apuntan a que Clara Chía se habría vengado de Piqué engañándolo con Josep Guardiola, quien fuera entrenador del futbolista en el Barcelona. https://t.co/ZzI1lZiiEx",0,4.587496,1.9016117
25,726498,D’ailleurs Jul il a grave piqué le son des comoriens la  #NaynayFM,-1,8.9132185,4.4747987
26,604309,大島優子のパジャマはジェラートピケ「gelato pique」！気になる値段、販売店、質感は？ https://t.co/4gB49RUJ8H https://t.co/TDOHLyNLOd,27,-3.134417,1.7245498
27,667149,"Acho que atestado de burrice namorar com alguém que você começou sendo o/a outro/a.
Se o cara traiu a pessoa que ele estava com você, ele vai te trair com outra pessoa.
https://t.co/bHTkQy6hLw",2,11.35186,2.0647297
28,504636,Shakira explica ya en frío por qué dedicó la durísima canción a Piqué y Clara Chía: https://t.co/pPJomttzcR,1,7.443088,2.4685683
29,724451,desculpem mas só na minha escola secundária existiam 5 gajas iguais à namorada do pique,0,4.3784432,2.3316233
30,699436,"Si yo fuese famosa leería este tipo de vainas todo el tiempo pa cagarme de la risa, imagínense todo lo que le debe llegar a Shakira 🤣🤣🤣 https://t.co/VIy3VDbNwT",-1,12.041347,4.625151
31,508961,@kellyjohannalt @MikMishMusic 3. No me gusta como canta shakira,-1,11.387243,4.3940744
32,503291,"RT @chrisxxxarauz: ALERTA DE SPOILER

Se viene la colaboración de Shakira y Karol G, se llamara ""Hasta que les PIQUÉ el ANUEL"" https://t.co…",-1,9.022128,-9.267677
33,586245,Qual é a da nova música da Shakira?,11,12.377885,5.304706
34,524126,Final con los memes!! @3gerardpique Coño hazle caso a @shakira https://t.co/HCCtU1kUvU,7,10.336678,4.91305
35,612817,Mini pastel de queijo Brie com a geleia da Shakira 😋,19,10.7698965,0.8802967
36,721826,Le temps a eu raison de Shakira ; l’ex de Piqué était 10 fois plus belle en 90 (photo) https://t.co/wO5bsgh301,-1,5.3410287,-14.2774105
37,573296,solo falta q Shakira vuelva a ser mona y diabólica y q se tenga el mundo 🙏❤️,-1,12.15505,4.570273
38,671525,"Así como vamos con el chisme de Piqué y Clara Chia, Shakira va a terminar haciendo todo un álbum 🤣🤣",-1,10.839007,4.094437
39,655043,Como me saco esa hpta cancion de Shakira de la mente? Jdksksk,23,13.700466,6.355433
40,675543,¿Gerard Piqué le habría sido infiel a Clara Chía? esto es lo que se sabe hasta el momento https://t.co/yUSZWTBJ8h,0,4.6169252,1.6574624
41,561433,a piqué si https://t.co/r9gGsLcIJK,0,2.7226813,4.9172425
42,647412,“Shakira se vería más digna ignorando a Piqué y Clara” las señoras de Facebook 🤨,-1,6.8557744,1.4727414
43,742872,HAHAHAHA TOY MALA🤣😭 Dique que a Shakira ahora le gustan los huevos sin CLARA HAHAHHA noo😭😭😂🤣🤣🤣,-1,7.394948,9.682841
44,606206,"#shakira 
La colombiana sube video con la coreografía de su último gran hit #BZRPMusicSession53 
#musica #reelsinstagram https://t.co/hKdrd0Kq1A",-1,10.097403,5.143664
45,586523,Pique escuchando cómo lo destruyen en 3:33 minutos https://t.co/jBUaClkZ1L,0,3.2532268,4.205309
46,693886,Actitudes como la de la mamá de piqué es la que hacen salir al demonio que llevo dentro,0,4.4216495,2.9742846
47,718564,Pique vieux père. Excuse moi tu avais raison https://t.co/aEPcHIDUxX,-1,3.8851812,7.195537
48,639072,Parece que no hay mas canciones en la radio que solo escucho a Shakira y Miley.,5,15.0232725,4.405922
49,511007,"La relación internacional en la que estuvo haciendo pasantía era en la de Shakira y pique, lo que me sorprende es que ya estén dando licenciatura de roba marido y por grado de magnitud 😂 https://t.co/RHsKQZcolg",1,6.344051,1.979442
50,731742,Harta estoy de que todos los días me pique la garganta por la contaminación de esta pendeja ciudad.,8,3.878407,8.041278
51,739503,hj eu tô exatamente esse pique aq https://t.co/hV9YfrJ83i,3,4.378601,7.041104
52,754658,Gerard Piqué gets tired of criticism and fights with a paparazzi in Spain: “Leave drugs” https://t.co/pzkUpZh60g,0,4.179438,1.4044784
53,665068,A fofoca da geléia da Shakira no Fantástico haha,19,10.85194,0.87675744
54,511005,Hijole no se por qué se toman tan a pecho lo de Pique y Shakira si todo termina siendo marketing xd,1,6.2738004,2.7402582
55,610654,Necesito urgente un recital de shakira y que cante todos sus hits,-1,11.060163,5.829879
56,619069,"https://t.co/f65Gv1hwVH

ok but ??? shakira as a lewd spanish teacher muse ???",4,11.46027,4.6399593
