text_id,doc,topic,x,y
1082690,"Se que a algunos les duele no solo perder contra el barsa si no la forma. Ellos deben decidir como juega el rival y si pueden defenderse  o https://t.co/RYgCqCrjoK han tenido una ocasión clara de gol y te van a hablar de negreira, de xavi, de que si deben expulsar a 3 o 4...",1,21.05398,2.6864083
1085271,ANTESPAÑOL de Podemos JAVIER OLIVARES del MINISTERIO DEL TIEMPO @rtve SEÑALA 600 asesinatos durante la transición española pero se ENORGULLECE de SER COMUNISTA (con más de 100MILLONES de asesinatos q NO CONDENA). HDLGP ❌ #alvise #Red Real Madrid #PSOE Barsa PutiSOE #Adara https://t.co/1Knci2uOd9 https://t.co/LC6g8yVT2f,0,17.412407,6.692781
1087939,"¡¿Corruption and Nepotism of Referees at #BarçaGate LaLiga CopaDelRey Sponsored by $SAN $NKE $SPOT $DIS $TEF #DAZN #TNT #SkySports #Star+
🇪🇦 #BajaMovistar Negreira
#BarcaGate Barcelona #Clásico #ElClásico #LigaSantander FCB #SantanderBank  #NikeFC RFEF  #SaldoArbitral #RealMadrid https://t.co/brERrmT98o",0,16.66011,6.667464
1080961,"#ChiringuitoBarcelona Lo del Barsa va de ridículo en ridiculo y los culés tan felices con sus siete puntos de diferencia, esto no se sostiene",1,19.740953,2.5971076
1089322,Menos enfoque en los arbitros y mas en negreira y el barcelona,0,16.152643,6.3819895
1088242,"""Laporta, págame; Laporta, págame"", canta el madridismo a hora y media de que empiece el Clásico. El 'Caso Negreira' no va a pasar desapercibido en la capital española. 

📹 @JBirlanga https://t.co/4DgoyOdB1g",0,17.66763,6.375362
1082254,#chiringuitotitular el madrid pátina y el barsa rompe el hielo,1,19.813488,3.0580864
1089273,"Pero que nos viena decir el CTA y la  @rfef ,que si somos tontos? 
Que allí no sabían nada?
Transparencia??
Enriquez negreira sólo hacia funciones gubernamentales??
Hoy nos sacan de dudas,estaban todos en el Ajo!!!!! https://t.co/XQ1VuJrf58",0,15.816768,8.137742
1080847,"De La Fuente es otro Luis Enrique, convoca a jugadores del Barsa, da igual su condicion o si siempre estan en el banquillo! Asi no se va a ganr nada!! Viva España manque pierda, claro q si!!! 🤯 https://t.co/O8binsIOlW",1,21.029184,3.585598
1083279,Ganó negreira https://t.co/F4b766ZgCe,0,15.35818,5.059091
1086514,Ter Stegen podría jugar sin manos que no lo notaríamos y eso no es culpa del árbitro ni de Negreira.,0,15.757758,5.8936143
1083408,Unas veces gana el madrid otras gana el barsa pero todos sabemos que Luis Companys estuvo bien fusilado,1,21.149006,3.6682804
1080816,"⚽️ Hemos tenido mucho, muchísimo debate: The Best, Barçagate y la posición del Real Madrid en el Caso Negreira. 

🗣 @Sergivalentin_, @CeltBucks, @pepegh7, Isidoro San José y @MariaTrisac 

📹 https://t.co/TUK0UQtOd0

https://t.co/fypmx56W0A",0,17.051558,6.5160704
1085027,Al negreira  le falta rematar el corner...,0,15.066535,5.4468617
1082710,"Otra semana más hablando de Negreira, porque de fútbol…. MIAU",0,14.779448,5.46177
1085758,El barsa no cae porque cae el gobierno. Tal cual https://t.co/2HICNPcQLE,1,18.932772,0.86215866
1087673,Primera llamada de Negreira.,0,14.34261,5.4435444
1082582,"Perfecto...
Lo has echo de puta madre...
Dale un saludo a Negreira... https://t.co/iF48EM4aBB https://t.co/zgvBVrbWRa",0,13.251477,5.440251
1089750,El indicio que puede demostrar los presuntos sobornos de Negreira a los árbitros  https://t.co/d18ErIa48n a través de @larazon_es,0,15.934687,8.608489
1084433,Ansu fati y ferran juegan en la barsa porque son españoles es la única razón que veo,1,20.313288,3.3371885
1085399,"La Fiscalía ultima una querella contra el F.C. Barcelona y el expresidente Bartomeu por el caso Negreira, por @miguelpr83 https://t.co/YsQnMrTNry vía @libertaddigital",0,17.351164,8.063248
1089644,"En el más puro estilo mafioso, el CTA castiga a Estrada Fernández por ejercer su derecho de querellarse contra Negreira. Ya sabíamos que los premios y castigos a los árbitros no eran por cuestiones técnicas, esto lo confirma. #CorrupciónEnLaFederación #MafiaArbitral #BarçaGate https://t.co/NnjJ6lJUY1",0,16.481464,7.9308457
1089880,"Esa gente que dice que los periodistas que cubrimos el Atlético deberíamos centrarnos en el caso Negreira... Venga, dadle difusión a esto, ¿no? Lo que hay que oír 

Entrevistamos por el caso Negreira a Augusto César Lendoiro, expresidente del Deportivo

https://t.co/DL3ip31lAW",0,16.809929,7.087068
1085550,"Vinicius es el unico jugador de la historia del futbol que es capaz de decirles locos a los arbitros, hijos de puta, reirse en sus caras y romperle el cuello a sus rivales sin ser expulsado

Despues los madridistas estan llorando por el caso Negreira y ellos son los corruptos🤐 https://t.co/0069YREfBc",0,16.720097,4.807112
1086461,"Cuando hablan de Negreira y los informes se trata de esto

El Barça en comun con El Niño Negreira deciden cómo llevar el partido, hoy XAVI metido atrás y con un punta, no necesita el balón, sí necesita que el ritmo sea cortado, que las faltas no sean castigadas y ahí está Munuera",0,16.188198,5.918217
1083490,melapela visca barsa,1,18.6788,1.6344535
1083098,Pero como puede ser esto? Si a mi me han dicho que Vinicius es un santo y que sólo quiere jugar y bailar… debe ser cosa de Negreira seguro https://t.co/dcmDriUIHy,0,16.496534,4.676067
1086416,La UEFA irrumpe en el caso Negreira: ¿por qué el Barça sí puede ser sancionado deportivamente en Europa? | Fútbol https://t.co/NNWr0QFcNu https://t.co/fwdEDqrDTK,0,16.99072,7.081876
1081899,Con Negreira normal ir motivado https://t.co/goTX9EHnKQ,0,13.875583,5.484184
1085002,El Barsa ha aguantado el arrendamiento de los primer cuarto de hora. A partir de ahora el Barsa mejorará mientras el Madrit se apaga físicamente. Esto solo lo pueden cambiar Rodrygo o Ceballos,1,19.780502,1.0008802
1083821,"Puede ser el mejor partido que le he visto al Barsa defensivamente en mi vida, sin regalar nada.
Y con todo el tiempo que ha estado atrás metido no le han creado prácticamente ni una ocasión de gol.",1,20.736227,1.7953916
1086178,""" A EL CULERO MUNUERA SE LE HA OLVIDADO OTRA AMARILLA X ENTRADA DE EL SUCIO GAVI OTRO PROTEGIDO Y HABLABAN DE CASEMIRO... ÉSTE ES UN MAKOKI ENTRADAS TEMERARIAS... Y NADA LO PASA X ALTO ""  EL EFECTO NEGREIRA ...",0,16.202436,4.3252482
1086108,Minuto 44 y amarilla para los de Negreira. Que hdp,0,16.239828,4.556365
1088959,"Que deja vù me ha dado con Rubiales con los últimos 10 segundos del vídeo. En vez de despejar todo tipo de dudas acerca del caso Negreira, lo que se ha originado es más curiosidad sobre el caso. https://t.co/HbZGgS9RRt",0,15.484515,8.479149
1086536,Se le han olvidado las tarjetas para el Barsa no?,1,19.425009,1.2960953
